,bachat,current_price,link,name,original_price,title
52,54% off,₹459,/try-men-solid-casual-maroon-shirt/p/itm82177314e5138?pid=SHTFGSUPYZSAHZWG&lid=LSTSHTFGSUPYZSAHZWGWHN2GU&marketplace=FLIPKART&spotlightTagId=TrendingId_2oq&srno=s_2_53&otracker=search&otracker1=search&fm=organic&iid=d7e4d4f6-52d0-408e-9e10-530a73a45545.SHTFGSUPYZSAHZWG.SEARCH&ssid=o07k1nxtcw0000001580561285941&qH=514ca2b2d46ccf67,Try This,₹999,Men Solid Casual Button Down Shirt
53,47% off,"₹1,049",/ducati-men-solid-casual-blue-shirt/p/itmf7g3nhastsefd?pid=SHTF7G3NZCZATWGP&lid=LSTSHTF7G3NZCZATWGP77LMBY&marketplace=FLIPKART&srno=s_2_54&otracker=search&otracker1=search&fm=organic&iid=en_i%2B%2F9U3%2B3u1KAFbZM%2FfCvkJnC6WPDsA2z3Vr6njjz6cD%2FtzHY9s6HXFqW1XoCy8VYXUoTG9weQSIxut%2BUcUxHYQ%3D%3D&ssid=o07k1nxtcw0000001580561285941&qH=514ca2b2d46ccf67,Ducati,"₹1,999",Men Solid Casual Shirt
54,50% off,₹949,/peter-england-men-solid-formal-black-maroon-shirt/p/itmf43eb01729073?pid=SHTFJFUJCPNRHV3H&lid=LSTSHTFJFUJCPNRHV3HWGW1PZ&marketplace=FLIPKART&srno=s_2_55&otracker=search&otracker1=search&fm=organic&iid=b6e7ab96-9db0-4b48-86a0-fb4ce40542d1.SHTFJFUJCPNRHV3H.SEARCH&ssid=o07k1nxtcw0000001580561285941&qH=514ca2b2d46ccf67,Peter England,"₹1,899",Men Solid Formal Shirt
55,56% off,₹571,/highlander-men-checkered-casual-multicolor-shirt/p/itmf8q2yzfmebwng?pid=SHTF8Q2YRWUAPYXV&lid=LSTSHTF8Q2YRWUAPYXVHG4PKE&marketplace=FLIPKART&srno=s_2_56&otracker=search&otracker1=search&fm=organic&iid=b6261624-1692-4e18-b85e-dcf5bad03fbc.SHTF8Q2YRWUAPYXV.SEARCH&ssid=o07k1nxtcw0000001580561285941&qH=514ca2b2d46ccf67,Highlander,"₹1,299",Men Checkered Casual Spread Shirt
56,57% off,₹558,/urbano-fashion-men-solid-casual-yellow-shirt/p/itmfa8w9sxymjveb?pid=SHTFA85XZ3B2B2UD&lid=LSTSHTFA85XZ3B2B2UDQ870MF&marketplace=FLIPKART&srno=s_2_57&otracker=search&otracker1=search&fm=organic&iid=8b5a15ea-4691-4e35-a124-eecd67820746.SHTFA85XZ3B2B2UD.SEARCH&ssid=o07k1nxtcw0000001580561285941&qH=514ca2b2d46ccf67,Urbano Fashion,"₹1,299",Men Solid Casual Mandarin Shirt
57,60% off,₹399,/sona-fashions-men-solid-casual-blue-shirt/p/itmc28fc44cc738f?pid=SHTFHFHK3VTKBN3Y&lid=LSTSHTFHFHK3VTKBN3Y1CTL0H&marketplace=FLIPKART&srno=s_2_58&otracker=search&otracker1=search&fm=organic&iid=054776ab-d274-411f-b53d-463dfe94b717.SHTFHFHK3VTKBN3Y.SEARCH&ssid=o07k1nxtcw0000001580561285941&qH=514ca2b2d46ccf67,Sona Fashions,₹999,Men Solid Casual Slim Shirt
58,48% off,₹519,/highlander-men-solid-casual-green-shirt/p/itmfdfd8kzrsw5mx?pid=SHTF2FKHC9XZNNQZ&lid=LSTSHTF2FKHC9XZNNQZZNR1ZV&marketplace=FLIPKART&srno=s_2_59&otracker=search&otracker1=search&fm=organic&iid=b0092fd9-a2ab-4cee-afe0-b212f7cf019e.SHTF2FKHC9XZNNQZ.SEARCH&ssid=o07k1nxtcw0000001580561285941&qH=514ca2b2d46ccf67,Highlander,₹999,Men Solid Casual Spread Shirt
59,67% off,₹461,/metronaut-men-striped-casual-dark-blue-shirt/p/itmfhffhtnc9hcrg?pid=SHTFHFFHZJYPFBGJ&lid=LSTSHTFHFFHZJYPFBGJE8NBTR&marketplace=FLIPKART&srno=s_2_60&otracker=search&otracker1=search&fm=organic&iid=en_i%2B%2F9U3%2B3u1KAFbZM%2FfCvkJnC6WPDsA2z3Vr6njjz6cDqUJfVE%2FTOXhjfhNX04cnyWCt%2FpqXf86zewMS2RISWmQ%3D%3D&ssid=o07k1nxtcw0000001580561285941&qH=514ca2b2d46ccf67,Metronaut,"₹1,399",Men Striped Casual Shirt
60,71% off,₹455,/base-41-men-checkered-casual-pink-shirt/p/itmfg348muaj9ddy?pid=SHTFGFAHRVY6FNCZ&lid=LSTSHTFGFAHRVY6FNCZI4L0RL&marketplace=FLIPKART&srno=s_2_61&otracker=search&otracker1=search&fm=organic&iid=11ccea05-e35c-41a5-8480-77410ad88e17.SHTFGFAHRVY6FNCZ.SEARCH&ssid=o07k1nxtcw0000001580561285941&qH=514ca2b2d46ccf67,BASE 41,"₹1,599",Men Checkered Casual Spread Shirt
61,53% off,₹599,/shopybucket-men-solid-casual-green-white-shirt/p/itm2581da7028c23?pid=SHTF949X55FWRJ3T&lid=LSTSHTF949X55FWRJ3TKLJAJB&marketplace=FLIPKART&srno=s_2_62&otracker=search&otracker1=search&fm=organic&iid=2e848748-b0d6-4611-b716-f4667750e944.SHTF949X55FWRJ3T.SEARCH&ssid=o07k1nxtcw0000001580561285941&qH=514ca2b2d46ccf67,ShopyBucket,"₹1,299",Men Solid Casual Ribbed Collar Shirt
62,64% off,₹500,/tripr-men-colorblocked-casual-black-white-shirt/p/itmf8sesayjs6hvu?pid=SHTF8S55GM9GSN9D&lid=LSTSHTF8S55GM9GSN9DSMOZ68&marketplace=FLIPKART&srno=s_2_63&otracker=search&otracker1=search&fm=organic&iid=c80e6c8f-3987-402b-83f9-dd147f92279e.SHTF8S55GM9GSN9D.SEARCH&ssid=o07k1nxtcw0000001580561285941&qH=514ca2b2d46ccf67,Tripr,"₹1,399",Men Colorblocked Casual Shirt
63,57% off,₹599,/metronaut-men-self-design-formal-grey-shirt/p/itmfh579c3nzuqwg?pid=SHTFH579N6R3JZ9Q&lid=LSTSHTFH579N6R3JZ9QPXDPK5&marketplace=FLIPKART&srno=s_2_64&otracker=search&otracker1=search&fm=organic&iid=en_i%2B%2F9U3%2B3u1KAFbZM%2FfCvkJnC6WPDsA2z3Vr6njjz6cCpAInmVU9D3Ylmoutj90hfH25fRwnjsdOdEjdeUuaWVA%3D%3D&ssid=o07k1nxtcw0000001580561285941&qH=514ca2b2d46ccf67,Metronaut,"₹1,399",Men Self Design Formal Shirt
64,71% off,₹521,/bosque-men-striped-casual-black-shirt/p/itm355eb47b02efa?pid=SHTFJGCZYFR3U562&lid=LSTSHTFJGCZYFR3U562LK8LDD&marketplace=FLIPKART&srno=s_2_65&otracker=search&otracker1=search&fm=organic&iid=e6ae9444-8584-426b-bd8c-c9a0b8703ee2.SHTFJGCZYFR3U562.SEARCH&ssid=o07k1nxtcw0000001580561285941&qH=514ca2b2d46ccf67,BOSQUE,"₹1,799",Men Striped Casual Button Down Shirt
65,58% off,₹538,/nahiko-men-solid-casual-yellow-shirt/p/itmfdewyzurqkhzh?pid=SHTFDDMZEDTPPXQZ&lid=LSTSHTFDDMZEDTPPXQZYMQ38S&marketplace=FLIPKART&srno=s_2_66&otracker=search&otracker1=search&fm=organic&iid=1017a2d3-e139-4382-be04-9b81da81f7b1.SHTFDDMZEDTPPXQZ.SEARCH&ssid=o07k1nxtcw0000001580561285941&qH=514ca2b2d46ccf67,Nahiko,"₹1,299",Men Solid Casual Mandarin Shirt
66,43% off,₹569,/highlander-men-checkered-casual-dark-blue-blue-shirt/p/itmfekrxsvhxmcax?pid=SHTEPEZNQPX7KXQY&lid=LSTSHTEPEZNQPX7KXQYPPUMHG&marketplace=FLIPKART&srno=s_2_67&otracker=search&otracker1=search&fm=organic&iid=cfa531f6-fd58-4f06-8e04-37f84c8e17a7.SHTEPEZNQPX7KXQY.SEARCH&ssid=o07k1nxtcw0000001580561285941&qH=514ca2b2d46ccf67,Highlander,₹999,Men Checkered Casual Regular Shirt
67,70% off,₹469,/trendz-mafatlal-men-self-design-casual-red-shirt/p/itmff2rxwtte8fyn?pid=SHTFF2PTYUJPKGJE&lid=LSTSHTFF2PTYUJPKGJE68ZQG4&marketplace=FLIPKART&srno=s_2_68&otracker=search&otracker1=search&fm=organic&iid=c97f7e21-494f-40e3-aaba-df16cca5f758.SHTFF2PTYUJPKGJE.SEARCH&ssid=o07k1nxtcw0000001580561285941&qH=514ca2b2d46ccf67,Trendz by Mafatlal,"₹1,599",Men Self Design Casual Shirt
68,84% off,₹299,/feed-up-men-solid-casual-white-shirt/p/itmf3x6fh8z8ghhu?pid=SHTE6F86XQZZ5WZ5&lid=LSTSHTE6F86XQZZ5WZ50VNKZ0&marketplace=FLIPKART&srno=s_2_69&otracker=search&otracker1=search&fm=organic&iid=c49ddc3b-7141-4395-8c1b-987c8aef31c6.SHTE6F86XQZZ5WZ5.SEARCH&ssid=o07k1nxtcw0000001580561285941&qH=514ca2b2d46ccf67,Feed Up,"₹1,899",Men Solid Casual Shirt
69,67% off,₹461,/metronaut-men-solid-formal-maroon-shirt/p/itmfh579nzsbehx8?pid=SHTFH579YCVFXX3R&lid=LSTSHTFH579YCVFXX3RYLOYS3&marketplace=FLIPKART&srno=s_2_70&otracker=search&otracker1=search&fm=organic&iid=en_i%2B%2F9U3%2B3u1KAFbZM%2FfCvkJnC6WPDsA2z3Vr6njjz6cDcoc%2FUj0TzJQz393S%2B69IefTD6IrqPtkTAgWhKHIsqsQ%3D%3D&ssid=o07k1nxtcw0000001580561285941&qH=514ca2b2d46ccf67,Metronaut,"₹1,399",Men Solid Formal Spread Shirt
70,45% off,₹714,/peter-england-university-men-printed-formal-green-shirt/p/itm42008f6d300d1?pid=SHTFJ5BZUVZ7BXM9&lid=LSTSHTFJ5BZUVZ7BXM9XTPDEA&marketplace=FLIPKART&srno=s_2_71&otracker=search&otracker1=search&fm=organic&iid=e95a5623-090c-4416-9e0f-f12c41b569ee.SHTFJ5BZUVZ7BXM9.SEARCH&ssid=o07k1nxtcw0000001580561285941&qH=514ca2b2d46ccf67,Peter England University,"₹1,299",Men Printed Formal Shirt
71,67% off,₹355,/dom-men-solid-casual-white-shirt/p/itmf3x66hn2d9k7t?pid=SHTFFYJYRDKJXZRD&lid=LSTSHTFFYJYRDKJXZRDWCI0VV&marketplace=FLIPKART&srno=s_2_72&otracker=search&otracker1=search&fm=organic&iid=1fd908bc-3b27-4a5d-a6c4-b722279b3c9e.SHTFFYJYRDKJXZRD.SEARCH&ssid=o07k1nxtcw0000001580561285941&qH=514ca2b2d46ccf67,DOM,"₹1,099",Men Solid Casual Mandarin Shirt
72,61% off,₹497,/vero-lie-men-solid-casual-pink-shirt/p/itmf5dmgcptcw86e?pid=SHTET3KCGHHSTHFW&lid=LSTSHTET3KCGHHSTHFW7QVNLL&marketplace=FLIPKART&srno=s_2_73&otracker=search&otracker1=search&fm=organic&iid=b3ebbb99-761e-411c-b85e-ce79ddc49330.SHTET3KCGHHSTHFW.SEARCH&ssid=o07k1nxtcw0000001580561285941&qH=514ca2b2d46ccf67,VERO LIE,"₹1,299",Men Solid Casual Mandarin Shirt
73,67% off,₹428,/metronaut-men-striped-formal-black-shirt/p/itmfh5b4tykx64yz?pid=SHTFH5GKNEQVU54G&lid=LSTSHTFH5GKNEQVU54GWHTQZT&marketplace=FLIPKART&srno=s_2_74&otracker=search&otracker1=search&fm=organic&iid=en_i%2B%2F9U3%2B3u1KAFbZM%2FfCvkJnC6WPDsA2z3Vr6njjz6cBJ%2FLz%2FWmlR9RuuauqsZqJ%2FiRQJ1FT3stjZUi6kCrLraA%3D%3D&ssid=o07k1nxtcw0000001580561285941&qH=514ca2b2d46ccf67,Metronaut,"₹1,299",Men Striped Formal Spread Shirt
74,43% off,₹569,/highlander-men-checkered-casual-multicolor-shirt/p/itmf3x6evfwnbuqt?pid=SHTFYZZRWGSKVUZV&lid=LSTSHTFYZZRWGSKVUZVBLN1PW&marketplace=FLIPKART&srno=s_2_75&otracker=search&otracker1=search&fm=organic&iid=75d265ae-d6db-4d42-a4fa-2b654cc97332.SHTFYZZRWGSKVUZV.SEARCH&ssid=o07k1nxtcw0000001580561285941&qH=514ca2b2d46ccf67,Highlander,₹999,Men Checkered Casual Spread Shirt
75,67% off,₹486,/xtl-men-striped-casual-dark-blue-shirt/p/itm03254fd2c95ce?pid=SHTFJFHGFVJ5GATR&lid=LSTSHTFJFHGFVJ5GATRRSCAS6&marketplace=FLIPKART&srno=s_2_76&otracker=search&otracker1=search&fm=organic&iid=7da3b457-9d47-44db-ab05-f1038855dfad.SHTFJFHGFVJ5GATR.SEARCH&ssid=o07k1nxtcw0000001580561285941&qH=514ca2b2d46ccf67,XTL,"₹1,499",Men Striped Casual Mandarin Shirt
76,71% off,₹534,/vero-lie-men-striped-casual-red-shirt/p/itmdbead3a3bb721?pid=SHTFKGBJZVFNVGM8&lid=LSTSHTFKGBJZVFNVGM8AYJ8C3&marketplace=FLIPKART&srno=s_2_77&otracker=search&otracker1=search&fm=organic&iid=382177a6-dc46-4d1a-bc87-83b645bea7e5.SHTFKGBJZVFNVGM8.SEARCH&ssid=o07k1nxtcw0000001580561285941&qH=514ca2b2d46ccf67,VERO LIE,"₹1,875",Men Striped Casual Button Down Shirt
77,53% off,₹540,/highlander-men-printed-casual-multicolor-shirt/p/itmfchnkjbrh7v8u?pid=SHTFCHNK7RMEQVG5&lid=LSTSHTFCHNK7RMEQVG50EGGC5&marketplace=FLIPKART&srno=s_2_78&otracker=search&otracker1=search&fm=organic&iid=181be712-6af7-4969-925a-b872e234a09a.SHTFCHNK7RMEQVG5.SEARCH&ssid=o07k1nxtcw0000001580561285941&qH=514ca2b2d46ccf67,Highlander,"₹1,149",Men Printed Casual Cut Away Shirt
78,53% off,₹587,/highlander-men-solid-casual-beige-shirt/p/itmfdfq3whw5ppyr?pid=SHTF34N8JZUPKEZ5&lid=LSTSHTF34N8JZUPKEZ5KXOWPC&marketplace=FLIPKART&srno=s_2_79&otracker=search&otracker1=search&fm=organic&iid=6acceceb-6f87-4135-afd2-8fc204654fed.SHTF34N8JZUPKEZ5.SEARCH&ssid=o07k1nxtcw0000001580561285941&qH=514ca2b2d46ccf67,Highlander,"₹1,249",Men Solid Casual Mandarin Shirt
79,57% off,₹558,/metronaut-men-solid-formal-white-shirt/p/itmfdpvpyfas6tk9?pid=SHTFDPVPZXEZ6EZU&lid=LSTSHTFDPVPZXEZ6EZULWXUTO&marketplace=FLIPKART&srno=s_2_80&otracker=search&otracker1=search&fm=organic&iid=en_i%2B%2F9U3%2B3u1KAFbZM%2FfCvkJnC6WPDsA2z3Vr6njjz6cAEzgzyD8dqBL8NgL7Rbb4Pg%2FzEWgCb6iPsyqWI7MSCeQ%3D%3D&ssid=o07k1nxtcw0000001580561285941&qH=514ca2b2d46ccf67,Metronaut,"₹1,299",Men Solid Formal Spread Shirt
80,79% off,₹398,/u-turn-men-solid-casual-maroon-shirt/p/itmfa9g6pzaxh2gh?pid=SHTFA9F6KPASDUSH&lid=LSTSHTFA9F6KPASDUSHK0PUME&marketplace=FLIPKART&srno=s_3_81&otracker=search&otracker1=search&fm=organic&iid=ef5ceaea-23ef-4655-9fb1-30273586e20b.SHTFA9F6KPASDUSH.SEARCH&ssid=8alpn5190g0000001580561287923&qH=514ca2b2d46ccf67,U TURN,"₹1,899",Men Solid Casual Mandarin Shirt
81,43% off,₹569,/highlander-men-checkered-casual-multicolor-shirt/p/itmf3x6evfwnbuqt?pid=SHTFYZZRWGSKVUZV&lid=LSTSHTFYZZRWGSKVUZVBLN1PW&marketplace=FLIPKART&srno=s_3_82&otracker=search&otracker1=search&fm=organic&iid=5ba18634-c089-44c4-8241-874d45b1dda7.SHTFYZZRWGSKVUZV.SEARCH&ssid=8alpn5190g0000001580561287923&qH=514ca2b2d46ccf67,Highlander,₹999,Men Checkered Casual Spread Shirt
82,71% off,₹534,/vero-lie-men-striped-casual-red-shirt/p/itmdbead3a3bb721?pid=SHTFKGBJZVFNVGM8&lid=LSTSHTFKGBJZVFNVGM8AYJ8C3&marketplace=FLIPKART&srno=s_3_83&otracker=search&otracker1=search&fm=organic&iid=7f4cd30c-69c4-4104-b044-180d6b966702.SHTFKGBJZVFNVGM8.SEARCH&ssid=8alpn5190g0000001580561287923&qH=514ca2b2d46ccf67,VERO LIE,"₹1,875",Men Striped Casual Button Down Shirt
83,45% off,₹549,/shivay-creation-men-solid-casual-white-shirt/p/itmf8bcu2ygdxydt?pid=SHTF8B6UYSZEGN2C&lid=LSTSHTF8B6UYSZEGN2CKKA5PB&marketplace=FLIPKART&srno=s_3_84&otracker=search&otracker1=search&fm=organic&iid=en_LaYGmRB9tNeoMqTNa%2F%2FUi4Yx7HXeso%2FP8FIxcpq87W9waodnPg73GT7epmNRZFqg1IPc2BA2HF79pX6qtST0OQ%3D%3D&ssid=8alpn5190g0000001580561287923&qH=514ca2b2d46ccf67,shivay creation,₹999,Men Solid Casual Spread Shirt
84,79% off,₹398,/u-turn-men-solid-casual-orange-shirt/p/itmfa9g7uvaknbng?pid=SHTFA9F6HFPXVVBX&lid=LSTSHTFA9F6HFPXVVBX6VPD8T&marketplace=FLIPKART&srno=s_3_85&otracker=search&otracker1=search&fm=organic&iid=bbb852c5-5737-4809-a121-56da24c3813e.SHTFA9F6HFPXVVBX.SEARCH&ssid=8alpn5190g0000001580561287923&qH=514ca2b2d46ccf67,U TURN,"₹1,899",Men Solid Casual Mandarin Shirt
85,40% off,₹599,/shopybucket-men-solid-party-white-shirt/p/itmf7am7tqk3kudp?pid=SHTF79QZZ4WHB3UN&lid=LSTSHTF79QZZ4WHB3UNW7NOFY&marketplace=FLIPKART&srno=s_3_86&otracker=search&otracker1=search&fm=organic&iid=b489fe79-dfcd-47c8-b319-ea0c23bd6bd3.SHTF79QZZ4WHB3UN.SEARCH&ssid=8alpn5190g0000001580561287923&qH=514ca2b2d46ccf67,ShopyBucket,₹999,Men Solid Party Shirt
86,50% off,₹499,/fubar-men-solid-casual-white-shirt/p/itmfb75qzamj6zna?pid=SHTFB6HFFN9PDCKB&lid=LSTSHTFB6HFFN9PDCKB8GTLZ3&marketplace=FLIPKART&srno=s_3_87&otracker=search&otracker1=search&fm=organic&iid=375d8285-9469-42aa-81db-e00ec4e1e50b.SHTFB6HFFN9PDCKB.SEARCH&ssid=8alpn5190g0000001580561287923&qH=514ca2b2d46ccf67,FUBAR,₹999,Men Solid Casual Mandarin Shirt
87,48% off,₹519,/highlander-men-solid-casual-black-shirt/p/itmfdfd8qkybzadm?pid=SHTEH5HTHYSBKGGD&lid=LSTSHTEH5HTHYSBKGGDXSLDEB&marketplace=FLIPKART&srno=s_3_88&otracker=search&otracker1=search&fm=organic&iid=8541aaf3-d818-40f2-aff0-ece9d605200f.SHTEH5HTHYSBKGGD.SEARCH&ssid=8alpn5190g0000001580561287923&qH=514ca2b2d46ccf67,Highlander,₹999,Men Solid Casual REGULAR Shirt
88,66% off,₹539,/trendz-mafatlal-men-printed-casual-blue-grey-shirt/p/itmfg4wnfmhfyunv?pid=SHTFG4MH5MWHQGYP&lid=LSTSHTFG4MH5MWHQGYPDKEKCP&marketplace=FLIPKART&srno=s_3_89&otracker=search&otracker1=search&fm=organic&iid=cf229b8b-4a83-4583-8595-063b8d63e86e.SHTFG4MH5MWHQGYP.SEARCH&ssid=8alpn5190g0000001580561287923&qH=514ca2b2d46ccf67,Trendz by Mafatlal,"₹1,599",Men Printed Casual Spread Shirt
89,51% off,₹587,/5th-anfold-men-solid-formal-dark-blue-shirt/p/itmf6sxywydkyd5f?pid=SHTEYDDQ4HYMFCPG&lid=LSTSHTEYDDQ4HYMFCPGIMDAZJ&marketplace=FLIPKART&srno=s_3_90&otracker=search&otracker1=search&fm=organic&iid=en_LaYGmRB9tNeoMqTNa%2F%2FUi4Yx7HXeso%2FP8FIxcpq87W%2F4XhcRxHX%2BqFUYoGFiSheXB0UWdpXMIqS0vVc4ASJGEg%3D%3D&ssid=8alpn5190g0000001580561287923&qH=514ca2b2d46ccf67,5th Anfold,"₹1,199",Men Solid Formal Slim Shirt
90,66% off,₹534,/metronaut-men-solid-casual-white-shirt/p/itmfcuz7mkxkzrtx?pid=SHTFCUZYPPFDTYYE&lid=LSTSHTFCUZYPPFDTYYEWXQHWO&marketplace=FLIPKART&srno=s_3_91&otracker=search&otracker1=search&fm=organic&iid=928dffee-aaf4-4bd5-ba11-398593e29315.SHTFCUZYPPFDTYYE.SEARCH&ssid=8alpn5190g0000001580561287923&qH=514ca2b2d46ccf67,Metronaut,"₹1,599",Men Solid Casual Spread Shirt
91,62% off,₹567,/fubar-men-striped-party-light-green-shirt/p/itmfd6vhvm4tada9?pid=SHTFD6STKP5GFUCH&lid=LSTSHTFD6STKP5GFUCHNWPXAH&marketplace=FLIPKART&srno=s_3_92&otracker=search&otracker1=search&fm=organic&iid=be429a6e-39e4-42aa-ba1a-dcb0fa3f38b5.SHTFD6STKP5GFUCH.SEARCH&ssid=8alpn5190g0000001580561287923&qH=514ca2b2d46ccf67,FUBAR,"₹1,499",Men Striped Party Mandarin Shirt
92,67% off,₹758,/metronaut-men-solid-formal-black-white-shirt/p/itmfhyvdysp3ethe?pid=SHTFHYVDYEXZJEGY&lid=LSTSHTFHYVDYEXZJEGYL3KFIN&marketplace=FLIPKART&srno=s_3_93&otracker=search&otracker1=search&fm=organic&iid=00a2ab52-d60c-4398-ab32-bd54fded88df.SHTFHYVDYEXZJEGY.SEARCH&ssid=8alpn5190g0000001580561287923&qH=514ca2b2d46ccf67,Metronaut,"₹2,299",Men Solid Formal Shirt
93,47% off,"₹1,049",/ducati-men-solid-casual-blue-shirt/p/itmf7g3nhastsefd?pid=SHTF7G3NZCZATWGP&lid=LSTSHTF7G3NZCZATWGP77LMBY&marketplace=FLIPKART&srno=s_3_94&otracker=search&otracker1=search&fm=organic&iid=en_LaYGmRB9tNeoMqTNa%2F%2FUi4Yx7HXeso%2FP8FIxcpq87W%2B8Xsbrt98Q6riUGVLlmXSzXUoTG9weQSIxut%2BUcUxHYQ%3D%3D&ssid=8alpn5190g0000001580561287923&qH=514ca2b2d46ccf67,Ducati,"₹1,999",Men Solid Casual Shirt
94,55% off,₹989,/wrogn-men-checkered-casual-multicolor-shirt/p/itm75828ca93cb61?pid=SHTFHX5HHR4ZRG8W&lid=LSTSHTFHX5HHR4ZRG8WGEIDOQ&marketplace=FLIPKART&srno=s_3_95&otracker=search&otracker1=search&fm=organic&iid=fb5ebe90-2067-41c7-92a4-e7d221a64534.SHTFHX5HHR4ZRG8W.SEARCH&ssid=8alpn5190g0000001580561287923&qH=514ca2b2d46ccf67,WROGN,"₹2,199",Men Checkered Casual Spread Shirt
95,73% off,₹398,/jai-textiles-men-solid-casual-light-blue-shirt/p/itmfa8syetwyzn4t?pid=SHTFA82ZK95WV8DK&lid=LSTSHTFA82ZK95WV8DKWCWM98&marketplace=FLIPKART&srno=s_3_96&otracker=search&otracker1=search&fm=organic&iid=d5dd99d9-724d-40c4-b036-6d72466e7bbb.SHTFA82ZK95WV8DK.SEARCH&ssid=8alpn5190g0000001580561287923&qH=514ca2b2d46ccf67,Jai Textiles,"₹1,499",Men Solid Casual Spread Shirt
96,58% off,₹350,/gritstones-men-solid-casual-green-shirt/p/itmf3x6tdh38adg3?pid=SHTF39CRTDGNYC25&lid=LSTSHTF39CRTDGNYC25UQIZOO&marketplace=FLIPKART&srno=s_3_97&otracker=search&otracker1=search&fm=organic&iid=125ea31f-0178-4459-ab5e-6319c7c6700f.SHTF39CRTDGNYC25.SEARCH&ssid=8alpn5190g0000001580561287923&qH=514ca2b2d46ccf67,Gritstones,₹849,Men Solid Casual Mandarin Shirt
97,72% off,₹432,/base-41-men-checkered-casual-green-shirt/p/itmfg349zayz4v2g?pid=SHTFGFAHRH7YHTRN&lid=LSTSHTFGFAHRH7YHTRN4ACOPN&marketplace=FLIPKART&srno=s_3_98&otracker=search&otracker1=search&fm=organic&iid=00947fe0-0358-43c1-8c9a-1c27c67e95bb.SHTFGFAHRH7YHTRN.SEARCH&ssid=8alpn5190g0000001580561287923&qH=514ca2b2d46ccf67,BASE 41,"₹1,599",Men Checkered Casual Spread Shirt
98,43% off,₹569,/highlander-men-checkered-casual-multicolor-shirt/p/itmfekrxsmnerr6z?pid=SHTEZUPHKNEQUMRF&lid=LSTSHTEZUPHKNEQUMRFQTDMQR&marketplace=FLIPKART&srno=s_3_99&otracker=search&otracker1=search&fm=organic&iid=0f57ffb0-8833-4948-8d4e-cf9f26a2f344.SHTEZUPHKNEQUMRF.SEARCH&ssid=8alpn5190g0000001580561287923&qH=514ca2b2d46ccf67,Highlander,₹999,Men Checkered Casual Spread Shirt
99,67% off,₹461,/metronaut-men-striped-casual-dark-blue-shirt/p/itmfhffhtnc9hcrg?pid=SHTFHFFHZJYPFBGJ&lid=LSTSHTFHFFHZJYPFBGJE8NBTR&marketplace=FLIPKART&srno=s_3_100&otracker=search&otracker1=search&fm=organic&iid=en_LaYGmRB9tNeoMqTNa%2F%2FUi4Yx7HXeso%2FP8FIxcpq87W9Q4lhMiW0UTQaT%2BJM%2BaUMzWCt%2FpqXf86zewMS2RISWmQ%3D%3D&ssid=8alpn5190g0000001580561287923&qH=514ca2b2d46ccf67,Metronaut,"₹1,399",Men Striped Casual Shirt
100,53% off,₹516,/highlander-men-solid-casual-white-shirt/p/itmfdfd8wphkd6gw?pid=SHTEWZH8G4XMEZFN&lid=LSTSHTEWZH8G4XMEZFNTJNNJV&marketplace=FLIPKART&srno=s_3_101&otracker=search&otracker1=search&fm=organic&iid=7d914a7c-b784-4279-a96f-d368a43a298a.SHTEWZH8G4XMEZFN.SEARCH&ssid=8alpn5190g0000001580561287923&qH=514ca2b2d46ccf67,Highlander,"₹1,099",Men Solid Casual Shirt
101,60% off,₹399,/try-men-solid-casual-maroon-blue-shirt/p/itmcedc114f6b365?pid=SHTFNRVMM4CSZHW4&lid=LSTSHTFNRVMM4CSZHW4KVBR2S&marketplace=FLIPKART&srno=s_3_102&otracker=search&otracker1=search&fm=organic&iid=c1e0c114-50cc-4d64-af30-62c87d3fc7d6.SHTFNRVMM4CSZHW4.SEARCH&ssid=8alpn5190g0000001580561287923&qH=514ca2b2d46ccf67,Try This,₹999,Men Solid Casual Shirt
102,68% off,₹379,/base-41-men-solid-casual-orange-shirt/p/itmeaa521fb39997?pid=SHTFJVZFYW6B8PY3&lid=LSTSHTFJVZFYW6B8PY3NJSQHI&marketplace=FLIPKART&srno=s_3_103&otracker=search&otracker1=search&fm=organic&iid=e2a2eb71-b72a-4f52-86a1-125034dade33.SHTFJVZFYW6B8PY3.SEARCH&ssid=8alpn5190g0000001580561287923&qH=514ca2b2d46ccf67,BASE 41,"₹1,199",Men Solid Casual Mandarin Shirt
103,57% off,₹599,/metronaut-men-self-design-formal-grey-shirt/p/itmfh579c3nzuqwg?pid=SHTFH579N6R3JZ9Q&lid=LSTSHTFH579N6R3JZ9QPXDPK5&marketplace=FLIPKART&srno=s_3_104&otracker=search&otracker1=search&fm=organic&iid=en_LaYGmRB9tNeoMqTNa%2F%2FUi4Yx7HXeso%2FP8FIxcpq87W9M7x%2FcVDREHt%2B3wSJkO9j8H25fRwnjsdOdEjdeUuaWVA%3D%3D&ssid=8alpn5190g0000001580561287923&qH=514ca2b2d46ccf67,Metronaut,"₹1,399",Men Self Design Formal Shirt
