,bachat,current_price,link,name,original_price,title
12,79% off,₹398,/u-turn-men-solid-casual-blue-shirt/p/itmfa9g6vhrrpxku?pid=SHTFA9F6ZATJR3Y8&lid=LSTSHTFA9F6ZATJR3Y8GR4OPR&marketplace=FLIPKART&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=4027a479-e4fc-472c-b5bc-8f49d171f4d0.SHTFA9F6ZATJR3Y8.SEARCH&ssid=3eaqw5qhdc0000001580561283796&qH=514ca2b2d46ccf67,U TURN,"₹1,899",Men Solid Casual Mandarin Shirt
13,47% off,"₹1,049",/ducati-men-solid-casual-blue-shirt/p/itmf7g3nhastsefd?pid=SHTF7G3NZCZATWGP&lid=LSTSHTF7G3NZCZATWGP77LMBY&marketplace=FLIPKART&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=en_EXYpW3wCkt15bS6k%2Bren6wLVQmDyI3O95zQPzHtDrxWA%2BN0be03wWyWHtWl%2BDcg%2FXUoTG9weQSIxut%2BUcUxHYQ%3D%3D&ssid=3eaqw5qhdc0000001580561283796&qH=514ca2b2d46ccf67,Ducati,"₹1,999",Men Solid Casual Shirt
14,80% off,₹373,/u-turn-men-solid-casual-white-shirt/p/itmfa9g6sfmztjmu?pid=SHTFA9F6HBGGGG8U&lid=LSTSHTFA9F6HBGGGG8UGOXVOB&marketplace=FLIPKART&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=e24df784-6a0a-48ee-991a-a23f8c428aeb.SHTFA9F6HBGGGG8U.SEARCH&ssid=3eaqw5qhdc0000001580561283796&qH=514ca2b2d46ccf67,U TURN,"₹1,899",Men Solid Casual Mandarin Shirt
15,67% off,₹448,/fabtag-being-fab-men-solid-formal-blue-shirt/p/itmf3x6kzxgwcchz?pid=SHTEHPFZHGMPHCBD&lid=LSTSHTEHPFZHGMPHCBDZRWMMA&marketplace=FLIPKART&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=979e3e2a-178c-4faa-be26-72522f22c0ba.SHTEHPFZHGMPHCBD.SEARCH&ssid=3eaqw5qhdc0000001580561283796&qH=514ca2b2d46ccf67,FabTag - Being Fab,"₹1,390",Men Solid Formal Rugby Collar Shirt
16,73% off,₹398,/jai-textiles-men-solid-casual-black-shirt/p/itmfa8sygtmwhqth?pid=SHTFA82ZG5GJBHMX&lid=LSTSHTFA82ZG5GJBHMX7CCSM3&marketplace=FLIPKART&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=d8039f7d-21cc-44bf-8969-5f2a8a8b9147.SHTFA82ZG5GJBHMX.SEARCH&ssid=3eaqw5qhdc0000001580561283796&qH=514ca2b2d46ccf67,Jai Textiles,"₹1,499",Men Solid Casual Spread Shirt
17,62% off,₹566,/fubar-men-striped-party-orange-shirt/p/itmfd6vhxemfkkvr?pid=SHTFD6SUS3CUR8SA&lid=LSTSHTFD6SUS3CUR8SASSZM88&marketplace=FLIPKART&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=b2110d3f-83d6-49e9-a9a0-4ad76fba5fa3.SHTFD6SUS3CUR8SA.SEARCH&ssid=3eaqw5qhdc0000001580561283796&qH=514ca2b2d46ccf67,FUBAR,"₹1,499",Men Striped Party Mandarin Shirt
18,50% off,₹499,/highlander-men-checkered-casual-black-grey-shirt/p/itmf3x3dq5nqfprx?pid=SHTEVS4MFT47GMNV&lid=LSTSHTEVS4MFT47GMNVL56DXW&marketplace=FLIPKART&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=cba18cdd-6dd4-4425-8497-69864c89ce16.SHTEVS4MFT47GMNV.SEARCH&ssid=3eaqw5qhdc0000001580561283796&qH=514ca2b2d46ccf67,Highlander,₹999,Men Checkered Casual Button Down Shirt
19,67% off,₹461,/metronaut-men-striped-casual-dark-blue-shirt/p/itmfhffhtnc9hcrg?pid=SHTFHFFHZJYPFBGJ&lid=LSTSHTFHFFHZJYPFBGJE8NBTR&marketplace=FLIPKART&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=en_EXYpW3wCkt15bS6k%2Bren6wLVQmDyI3O95zQPzHtDrxVPL%2F8b5OUB894QsMI%2FvL7IWCt%2FpqXf86zewMS2RISWmQ%3D%3D&ssid=3eaqw5qhdc0000001580561283796&qH=514ca2b2d46ccf67,Metronaut,"₹1,399",Men Striped Casual Shirt
20,43% off,₹569,/highlander-men-checkered-casual-multicolor-shirt/p/itmfekrxehcz8ufp?pid=SHTEZG795B8HC7BQ&lid=LSTSHTEZG795B8HC7BQEPVN0O&marketplace=FLIPKART&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=28c315bf-5ac0-4ab8-a9a4-001451fad555.SHTEZG795B8HC7BQ.SEARCH&ssid=3eaqw5qhdc0000001580561283796&qH=514ca2b2d46ccf67,Highlander,₹999,Men Checkered Casual Spread Shirt
21,62% off,₹569,/gritstones-men-striped-casual-white-black-shirt/p/itmb2c03c241f7bf?pid=SHTFHFZDQRPWFCGZ&lid=LSTSHTFHFZDQRPWFCGZ8F9CN6&marketplace=FLIPKART&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=7c043194-d56a-4785-b33f-14de5517767b.SHTFHFZDQRPWFCGZ.SEARCH&ssid=3eaqw5qhdc0000001580561283796&qH=514ca2b2d46ccf67,Gritstones,"₹1,499",Men Striped Casual Spread Shirt
22,40% off,₹599,/highlander-men-solid-casual-grey-shirt/p/itmf3x9y4zawkezj?pid=SHTERN3WBZJE5GHQ&lid=LSTSHTERN3WBZJE5GHQWSNL8U&marketplace=FLIPKART&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=b68a357e-adab-4a5c-bc64-107353fac80c.SHTERN3WBZJE5GHQ.SEARCH&ssid=3eaqw5qhdc0000001580561283796&qH=514ca2b2d46ccf67,Highlander,₹999,Men Solid Casual Slim Shirt
23,57% off,₹599,/metronaut-men-self-design-formal-grey-shirt/p/itmfh579c3nzuqwg?pid=SHTFH579N6R3JZ9Q&lid=LSTSHTFH579N6R3JZ9QPXDPK5&marketplace=FLIPKART&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=en_EXYpW3wCkt15bS6k%2Bren6wLVQmDyI3O95zQPzHtDrxWge8nVxvtnuF5J6wSxyrWzH25fRwnjsdOdEjdeUuaWVA%3D%3D&ssid=3eaqw5qhdc0000001580561283796&qH=514ca2b2d46ccf67,Metronaut,"₹1,399",Men Self Design Formal Shirt
24,55% off,₹399,/gespo-men-solid-casual-white-shirt/p/itmfa8buyfqkmxth?pid=SHTFA8AJEDJM5TNG&lid=LSTSHTFA8AJEDJM5TNGRQ784V&marketplace=FLIPKART&srno=s_1_25&otracker=search&otracker1=search&fm=organic&iid=72b65909-1cc4-4059-9374-ac1acfdae843.SHTFA8AJEDJM5TNG.SEARCH&ssid=3eaqw5qhdc0000001580561283796&qH=514ca2b2d46ccf67,GESPO,₹899,Men Solid Casual Shirt
25,64% off,₹426,/gritstones-men-self-design-casual-pink-shirt/p/itmfdyvggszggrzf?pid=SHTFDYGBJSYW4WBY&lid=LSTSHTFDYGBJSYW4WBYGY86UH&marketplace=FLIPKART&srno=s_1_26&otracker=search&otracker1=search&fm=organic&iid=00f78253-a737-4f0c-86df-5ce9f4ce11b1.SHTFDYGBJSYW4WBY.SEARCH&ssid=3eaqw5qhdc0000001580561283796&qH=514ca2b2d46ccf67,Gritstones,"₹1,199",Men Self Design Casual Mandarin Shirt
26,62% off,₹379,/fabtag-deeksha-men-solid-casual-blue-shirt/p/itmf4sr8sfwpgzhn?pid=SHTF4SHAHPTYGEP2&lid=LSTSHTF4SHAHPTYGEP21NFZW9&marketplace=FLIPKART&srno=s_1_27&otracker=search&otracker1=search&fm=organic&iid=cbbead53-cb86-470f-8036-1e9c51d7dd08.SHTF4SHAHPTYGEP2.SEARCH&ssid=3eaqw5qhdc0000001580561283796&qH=514ca2b2d46ccf67,FabTag - Deeksha,₹999,Men Solid Casual Button Down Shirt
27,55% off,₹399,/gespo-men-solid-casual-black-shirt/p/itm7940ed870e59f?pid=SHTFNSFBNP4U8G9J&lid=LSTSHTFNSFBNP4U8G9JT6RHR6&marketplace=FLIPKART&srno=s_1_28&otracker=search&otracker1=search&fm=organic&iid=36daa7c1-2f4d-4fdc-9ad2-8515d2f754af.SHTFNSFBNP4U8G9J.SEARCH&ssid=3eaqw5qhdc0000001580561283796&qH=514ca2b2d46ccf67,GESPO,₹899,Men Solid Casual Shirt
28,81% off,₹355,/tap-men-color-block-casual-black-shirt/p/itm4d1090643edda?pid=SHTFJNYFGPC9RPTJ&lid=LSTSHTFJNYFGPC9RPTJNSPEPD&marketplace=FLIPKART&srno=s_1_29&otracker=search&otracker1=search&fm=organic&iid=aca62a76-a485-49a5-921b-2823ec0fc084.SHTFJNYFGPC9RPTJ.SEARCH&ssid=3eaqw5qhdc0000001580561283796&qH=514ca2b2d46ccf67,Tap in,"₹1,895",Men Color Block Casual Mandarin Shirt
29,67% off,₹461,/metronaut-men-solid-formal-maroon-shirt/p/itmfh579nzsbehx8?pid=SHTFH579YCVFXX3R&lid=LSTSHTFH579YCVFXX3RYLOYS3&marketplace=FLIPKART&srno=s_1_30&otracker=search&otracker1=search&fm=organic&iid=en_EXYpW3wCkt15bS6k%2Bren6wLVQmDyI3O95zQPzHtDrxXkKXHGA6MijYybVjnA%2F0c%2BfTD6IrqPtkTAgWhKHIsqsQ%3D%3D&ssid=3eaqw5qhdc0000001580561283796&qH=514ca2b2d46ccf67,Metronaut,"₹1,399",Men Solid Formal Spread Shirt
30,41% off,₹294,/oglivay-men-striped-casual-black-white-shirt/p/itm62754cd529b44?pid=SHTFKVXG5XXTJGGQ&lid=LSTSHTFKVXG5XXTJGGQDFB6HF&marketplace=FLIPKART&srno=s_1_31&otracker=search&otracker1=search&fm=organic&iid=0c7e7bf9-f1c1-4bcc-8b4a-0a10534f4031.SHTFKVXG5XXTJGGQ.SEARCH&ssid=3eaqw5qhdc0000001580561283796&qH=514ca2b2d46ccf67,Oglivay,₹499,Men Striped Casual Spread Shirt
31,50% off,₹949,/peter-england-men-solid-formal-black-maroon-shirt/p/itmf43eb01729073?pid=SHTFJFUJCPNRHV3H&lid=LSTSHTFJFUJCPNRHV3HWGW1PZ&marketplace=FLIPKART&srno=s_1_32&otracker=search&otracker1=search&fm=organic&iid=32a7ad36-ec44-4026-83e9-9c0bc7aae564.SHTFJFUJCPNRHV3H.SEARCH&ssid=3eaqw5qhdc0000001580561283796&qH=514ca2b2d46ccf67,Peter England,"₹1,899",Men Solid Formal Shirt
32,60% off,₹499,/highlander-men-checkered-casual-multicolor-shirt/p/itmfekrxkdmrtgmv?pid=SHTF3ZMVHZCMSXDN&lid=LSTSHTF3ZMVHZCMSXDNWEYSTY&marketplace=FLIPKART&srno=s_1_33&otracker=search&otracker1=search&fm=organic&iid=67850e46-e977-4f06-8efb-e135467f9631.SHTF3ZMVHZCMSXDN.SEARCH&ssid=3eaqw5qhdc0000001580561283796&qH=514ca2b2d46ccf67,Highlander,"₹1,249",Men Checkered Casual Spread Shirt
33,67% off,₹428,/metronaut-men-striped-formal-black-shirt/p/itmfh5b4tykx64yz?pid=SHTFH5GKNEQVU54G&lid=LSTSHTFH5GKNEQVU54GWHTQZT&marketplace=FLIPKART&srno=s_1_34&otracker=search&otracker1=search&fm=organic&iid=en_EXYpW3wCkt15bS6k%2Bren6wLVQmDyI3O95zQPzHtDrxWMbTgnYhRKyIlLQUzSsx1riRQJ1FT3stjZUi6kCrLraA%3D%3D&ssid=3eaqw5qhdc0000001580561283796&qH=514ca2b2d46ccf67,Metronaut,"₹1,299",Men Striped Formal Spread Shirt
34,54% off,₹459,/try-men-solid-casual-blue-shirt/p/itm6bebf054d1e0f?pid=SHTFGT6JYPGUBYHR&lid=LSTSHTFGT6JYPGUBYHRJQZ2IZ&marketplace=FLIPKART&srno=s_1_35&otracker=search&otracker1=search&fm=organic&iid=7be08896-13b3-48e1-bcc3-bd3e43791e19.SHTFGT6JYPGUBYHR.SEARCH&ssid=3eaqw5qhdc0000001580561283796&qH=514ca2b2d46ccf67,Try This,₹999,Men Solid Casual Button Down Shirt
35,53% off,₹469,/highlander-men-solid-casual-white-shirt/p/itmeh5hscgmqgdpf?pid=SHTEH5HSWYGGCKQ3&lid=LSTSHTEH5HSWYGGCKQ3PKUVHX&marketplace=FLIPKART&srno=s_1_36&otracker=search&otracker1=search&fm=organic&iid=640ae9d6-2740-450b-9993-63748325cd21.SHTEH5HSWYGGCKQ3.SEARCH&ssid=3eaqw5qhdc0000001580561283796&qH=514ca2b2d46ccf67,Highlander,₹999,Men Solid Casual Mandarin Shirt
36,77% off,₹493,/duenite-men-floral-print-casual-maroon-shirt/p/itm7d89a4f18d8ee?pid=SHTFNV494EGRZXCT&lid=LSTSHTFNV494EGRZXCTJ8A5IX&marketplace=FLIPKART&srno=s_1_37&otracker=search&otracker1=search&fm=organic&iid=ef188f5e-babc-46f4-b638-5c0738b13460.SHTFNV494EGRZXCT.SEARCH&ssid=3eaqw5qhdc0000001580561283796&qH=514ca2b2d46ccf67,Duenite,"₹2,222",Men Floral Print Casual Shirt
37,50% off,₹499,/highlander-men-checkered-casual-multicolor-shirt/p/itmf3x75fb8whdpm?pid=SHTES9Q9JHZT4AHX&lid=LSTSHTES9Q9JHZT4AHXLWD78N&marketplace=FLIPKART&srno=s_1_38&otracker=search&otracker1=search&fm=organic&iid=1b10e9cc-509f-464a-817e-fb2be5e9f046.SHTES9Q9JHZT4AHX.SEARCH&ssid=3eaqw5qhdc0000001580561283796&qH=514ca2b2d46ccf67,Highlander,₹999,Men Checkered Casual Slim Shirt
38,62% off,₹449,/gritstones-men-self-design-casual-blue-shirt/p/itmfdyvgmf46esnp?pid=SHTFDYGBQQZUZAPS&lid=LSTSHTFDYGBQQZUZAPSANRM5K&marketplace=FLIPKART&srno=s_1_39&otracker=search&otracker1=search&fm=organic&iid=e682bba6-0d2e-4e24-8561-145ae9e59cfa.SHTFDYGBQQZUZAPS.SEARCH&ssid=3eaqw5qhdc0000001580561283796&qH=514ca2b2d46ccf67,Gritstones,"₹1,199",Men Self Design Casual Mandarin Shirt
39,57% off,₹558,/metronaut-men-solid-formal-white-shirt/p/itmfdpvpyfas6tk9?pid=SHTFDPVPZXEZ6EZU&lid=LSTSHTFDPVPZXEZ6EZULWXUTO&marketplace=FLIPKART&srno=s_1_40&otracker=search&otracker1=search&fm=organic&iid=en_EXYpW3wCkt15bS6k%2Bren6wLVQmDyI3O95zQPzHtDrxWt2OaSOLUhT%2FtBaN6dEiRqg%2FzEWgCb6iPsyqWI7MSCeQ%3D%3D&ssid=3eaqw5qhdc0000001580561283796&qH=514ca2b2d46ccf67,Metronaut,"₹1,299",Men Solid Formal Spread Shirt
